Reference,Quantity,footprint,Value,Tolerance,Voltage,Current,Power,Mfr Part #
"J101,J201,J301,J401,J601,J501",6,SMA_LINX_CONSMA002_Horizontal,Conn_01x01_Shielded,,,,,CONSMA002-L
R2,1,R_0402_1005Metric,5.1K,,,,,ERJ-2RKF5101X
"U601,U101,U301,U402,U102,U501,U602,U302,U401,U502,U201,U202",12,TSOP-5_1.65x3.05mm_P0.95mm,74LVC1G125,,,,,"74LVC1G125GV,125"
"D301,D101,D601,D501,D201,D401",6,LED_0603_1608Metric,LED_GREEN,,,,,"
150040VS73240"
"Q602,Q202,Q601,Q102,Q101,Q501,Q502,Q401,Q302,Q301,Q201,Q402",12,SOT-323_SC-70,Q_NPN_BEC_BRT,,,,,"PDTC114EU,115"
"U403,U103,U203,U303,U603,U503",6,SOT-23-5,SN74LVC1G14DBV,,,,,SN74LVC1G14DBV
"C401,C402,C302,C301,C101,C602,C502,C201,C601,C102,C202,C501",12,C_0402_1005Metric,100nF,,,,,885012205037
"D102,D302,D202,D502,D402,D602",6,LED_0603_1608Metric,LED_BLUE,,,,,"
150040VS73240"
"R504,R604,R304,R204,R404,R104",6,R_0402_1005Metric,10K,,,,,CRCW040210K0FKEDC
"D103,D603,D403,D503,D303,D203",6,R_0402_1005Metric,D_TVS,,,,,PESD0402-140
"C2,C1",2,C_0402_1005Metric,10uF,,,,,ZRB15XR61A106ME01D
"R203,R403,R603,R503,R303,R103",6,R_0805_2012Metric,51,,,,,ERJ-P06J510V
D1,1,LED_0603_1608Metric,LED_WHITE,,,,,150060VS55040
"R301,R401,R1,R502,R302,R101,R402,R602,R601,R501,R202,R201,R102",13,R_0402_1005Metric,1K,,,,,ERJ-2GEJ102X
P5,1,PinHeader_2x20_P2.54mm_Vertical_1_04mm,Raspberry_Pi_2_3,,,,,SSW-120-01-T-D-006
J3,1,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03,,,,,M20-9770346
J2,1,PinHeader_2x01_P2.54mm_Vertical,Conn_01x02,,,,,M20-9990246
U1,1,SOT-223-3_TabPin2,LD1117S33TR_SOT223,,,,,LD1117S33TR 
J1,1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,,,,,USB4105-GF-A
